127.0.0.1 - - [16/Jul/2020:14:30:07 +0200] "GET / HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:30:08 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:30:08 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 200 6297
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:30:08 +0200] "GET /Autob%C3%B6rse/img_avatar2.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:30:10 +0200] "GET /Autob%C3%B6rse/document.getElementById('id01').style.display='block' HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:32:54 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:32:54 +0200] "GET /Autob%C3%B6rse/img_avatar2.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:32:54 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:33:01 +0200] "GET /Autob%C3%B6rse/document.getElementById('id01').style.display='block' HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:33:09 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:33:09 +0200] "GET /Autob%C3%B6rse/img_avatar2.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:35:53 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:35:53 +0200] "GET /Autob%C3%B6rse/img_avatar2.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:35:53 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 200 6297
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:35:53 +0200] "GET /favicon.ico HTTP/1.1" 404 773
